ERROR
Word: 3f22af11   Parity: 32
ERROR
Word: 12b50e9   Parity: 34
Word: 2f9b3fe8   Parity: 0
Word: 19a30075   Parity: 0
Word: 2f9af9d4   Parity: 0
Word: 15548562   Parity: 0
Word: 1552c418   Parity: 0
Word: 1ac01a0a   Parity: 0
Word: 19a40067   Parity: 0
Word: 2f96bfc0   Parity: 0
Word: 1981004f   Parity: 0
Word: 2f966bcf   Parity: 0
Word: 27fb1de9   Parity: 0
Word: 26ffe796   Parity: 0
Word: 4e21938   Parity: 0
Word: 1884d7   Parity: 0
Word: 1de6ffd6   Parity: 0
Word: 18c4e228   Parity: 0
Word: 19001918   Parity: 0
Word: 4e21911   Parity: 0
Word: 3fe69dc4   Parity: 0
Word: 22190029   Parity: 0
Word: 2660ff8e   Parity: 0
Word: 106fd412   Parity: 0
Word: 1004e204   Parity: 0
Word: 19001059   Parity: 0
Word: 3b1de6c7   Parity: 0
Word: 3fef7b19   Parity: 0
Word: 1de6ffff   Parity: 0
Word: 2f3b1dc5   Parity: 0
Word: 26ffeed7   Parity: 0
Word: 3b1de6ee   Parity: 0
Word: 11620a   Parity: 0
Word: 22190000   Parity: 0
Word: 1987004a   Parity: 0
Word: 10740636   Parity: 0
Word: 1554854b   Parity: 0
Word: 2aad3bce   Parity: 0
Word: 1ac01a23   Parity: 0
Word: 266fffad   Parity: 0
Word: 2f87bff4   Parity: 0
Word: 19a30075   Parity: 0
Word: 2f8779df   Parity: 0
Word: 2aab7a9d   Parity: 0
Word: 2aad3be7   Parity: 0
Word: 253fe5f5   Parity: 0
Word: 265bff98   Parity: 0
Word: 107cc005   Parity: 0
Word: 267eff99   Parity: 0
Word: 2f82ebe2   Parity: 0
Word: 1804e23f   Parity: 0
Word: 26ffe7bf   Parity: 0
Word: 3b1de6ee   Parity: 0
Word: 1884fe   Parity: 0
Word: 22190000   Parity: 0
Word: 18c4e201   Parity: 0
Word: 26ffe6ce   Parity: 0
Word: 4e21938   Parity: 0
Word: 196212   Parity: 0
Word: 22190000   Parity: 0
Word: 199f0058   Parity: 0
Word: 1083543d   Parity: 0
Word: 2ffb1dfb   Parity: 0
Word: 26ffefa6   Parity: 0
Word: 4e21938   Parity: 0
Word: 1084e6   Parity: 0
Word: 22190000   Parity: 0
ERROR
Word: 10c4e221   Parity: 1b
Word: 108c4000   Parity: 0
Word: 1981004f   Parity: 0
Word: 2f6f6bf3   Parity: 0
Word: 27fb1de9   Parity: 0
Word: 26ffe796   Parity: 0
Word: 4e21938   Parity: 0
Word: 1884d7   Parity: 0
Word: 1de6ffd6   Parity: 0
Word: 18c4e228   Parity: 0
Word: 19001918   Parity: 0
Word: 4e21911   Parity: 0
Word: 3fe69dc4   Parity: 0
Word: 22190029   Parity: 0
Word: 2660ff8e   Parity: 0
Word: 1092d416   Parity: 0
Word: 1004e204   Parity: 0
Word: 19001059   Parity: 0
Word: 3b1de6c7   Parity: 0
Word: 3fef7b19   Parity: 0
Word: 1de6ffff   Parity: 0
Word: 2f3b1dc5   Parity: 0
Word: 26ffeed7   Parity: 0
Word: 3b1de6ee   Parity: 0
Word: 11620a   Parity: 0
Word: 22190000   Parity: 0
Word: 1987004a   Parity: 0
Word: 109b062c   Parity: 0
Word: 15548562   Parity: 0
Word: 1552c418   Parity: 0
Word: 1ac01a0a   Parity: 0
Word: 1990007b   Parity: 0
Word: 2f62bfcb   Parity: 0
Word: 265cff8a   Parity: 0
Word: 109d8636   Parity: 0
Word: 1554854b   Parity: 0
Word: 2aad3bce   Parity: 0
Word: 1ac01a23   Parity: 0
Word: 265bffb1   Parity: 0
Word: 2f5e3fd0   Parity: 0
Word: 1981004f   Parity: 0
Word: 2f5febc8   Parity: 0
Word: 1804e216   Parity: 0
Word: 19001869   Parity: 0
Word: 3b1de6c7   Parity: 0
Word: 3fe77b28   Parity: 0
Word: 22190029   Parity: 0
Word: 273b1dd7   Parity: 0
Word: 26ffe6e7   Parity: 0
Word: 3b1de6ee   Parity: 0
Word: 19623b   Parity: 0
Word: 1de6ffd6   Parity: 0
Word: 199f0071   Parity: 0
Word: 2f59abea   Parity: 0
Word: 1004e204   Parity: 0
Word: 19001059   Parity: 0
Word: 3b1de6c7   Parity: 0
Word: 3fef7b19   Parity: 0
Word: 1de6ffff   Parity: 0
Word: 2f3b1dc5   Parity: 0
Word: 26ffeed7   Parity: 0
Word: 3b1de6ee   Parity: 0
Word: 11620a   Parity: 0
Word: 22190000   Parity: 0
Word: 1987004a   Parity: 0
Word: 10ae8611   Parity: 0
Word: 2aab7ab4   Parity: 0
Word: 1552c431   Parity: 0
Word: 253fe5dc   Parity: 0
Word: 19900052   Parity: 0
Word: 10b0c032   Parity: 0
Word: 19a3005c   Parity: 0
Word: 10b1060e   Parity: 0
Word: 1554854b   Parity: 0
Word: 2aad3bce   Parity: 0
Word: 1ac01a23   Parity: 0
Word: 265bffb1   Parity: 0
Word: 2f4abfd4   Parity: 0
Word: 1981004f   Parity: 0
Word: 2f4a6bf2   Parity: 0
Word: 1804e23f   Parity: 0
Word: 26ffe7bf   Parity: 0
Word: 3b1de6ee   Parity: 0
Word: 1884fe   Parity: 0
Word: 22190000   Parity: 0
Word: 18c4e201   Parity: 0
Word: 26ffe6ce   Parity: 0
Word: 4e21938   Parity: 0
Word: 196212   Parity: 0
ERROR
Word: 22190bbd   Parity: 1c
Word: 2f3dbfef   Parity: 0
Word: 265cff8a   Parity: 0
Word: 10c48617   Parity: 0
Word: 2aab7a9d   Parity: 0
Word: 2aad3be7   Parity: 0
Word: 253fe5f5   Parity: 0
Word: 265bff98   Parity: 0
Word: 10c4c00a   Parity: 0
Word: 19810066   Parity: 0
Word: 10c9141b   Parity: 0
Word: 27fb1de9   Parity: 0
Word: 26ffe796   Parity: 0
Word: 4e21938   Parity: 0
Word: 1884d7   Parity: 0
Word: 1de6ffd6   Parity: 0
Word: 18c4e228   Parity: 0
Word: 19001918   Parity: 0
Word: 4e21911   Parity: 0
Word: 3fe69dc4   Parity: 0
Word: 22190029   Parity: 0
Word: 2660ff8e   Parity: 0
Word: 10cf5410   Parity: 0
Word: 1004e22d   Parity: 0
Word: 26ffef8f   Parity: 0
Word: 3b1de6ee   Parity: 0
Word: 1084cf   Parity: 0
Word: 1de6ffd6   Parity: 0
Word: 10c4e213   Parity: 0
Word: 26ffeefe   Parity: 0
Word: 4e21938   Parity: 0
Word: 116223   Parity: 0
Word: 1de6ffd6   Parity: 0
Word: 19870063   Parity: 0
Word: 2f2c79d9   Parity: 0
Word: 2aab7ab4   Parity: 0
Word: 1552c431   Parity: 0
Word: 253fe5dc   Parity: 0
Word: 19900052   Parity: 0
Word: 10d7c003   Parity: 0
Word: 265cff8a   Parity: 0
Word: 10d60616   Parity: 0
Word: 1554854b   Parity: 0
Word: 2aad3bce   Parity: 0
Word: 1ac01a23   Parity: 0
Word: 265bffb1   Parity: 0
Word: 2f27bfe9   Parity: 0
Word: 267eff99   Parity: 0
Word: 2f276be6   Parity: 0
Word: 1804e23f   Parity: 0
Word: 26ffe7bf   Parity: 0
Word: 3b1de6ee   Parity: 0
Word: 1884fe   Parity: 0
Word: 22190000   Parity: 0
Word: 18c4e201   Parity: 0
Word: 26ffe6ce   Parity: 0
Word: 4e21938   Parity: 0
Word: 196212   Parity: 0
Word: 22190000   Parity: 0
Word: 199f0058   Parity: 0
Word: 10e0d42b   Parity: 0
Word: 2ffb1dd2   Parity: 0
Word: 19001070   Parity: 0
Word: 4e21911   Parity: 0
Word: 3fef7b30   Parity: 0
Word: 22190029   Parity: 0
Word: 2f3b1dec   Parity: 0
Word: 19001101   Parity: 0
Word: 3b1de6c7   Parity: 0
Word: 3fee9ddc   Parity: 0
Word: 22190029   Parity: 0
Word: 2678ff9c   Parity: 0
Word: 10e70625   Parity: 0
Word: 2aab7ab4   Parity: 0
Word: 1552c431   Parity: 0
Word: 253fe5dc   Parity: 0
Word: 19900052   Parity: 0
Word: 10eb4031   Parity: 0
Word: 265cffa3   Parity: 0
Word: 2f1479cc   Parity: 0
Word: 15548562   Parity: 0
Word: 1552c418   Parity: 0
Word: 1ac01a0a   Parity: 0
Word: 19a40067   Parity: 0
Word: 2f123ffd   Parity: 0
Word: 267eff99   Parity: 0
Word: 2f13ebe5   Parity: 0
Word: 27fb1dc0   Parity: 0
Word: 19001840   Parity: 0
Word: 4e21911   Parity: 0
Word: 3fe77b01   Parity: 0
Word: 1de6ffff   Parity: 0
Word: 273b1dfe   Parity: 0
Word: 19001931   Parity: 0
Word: 3b1de6c7   Parity: 0
Word: 3fe69ded   Parity: 0
Word: 1de6ffff   Parity: 0
Word: 2660ffa7   Parity: 0
Word: 2f0babd0   Parity: 0
Word: 1004e22d   Parity: 0
Word: 26ffef8f   Parity: 0
Word: 3b1de6ee   Parity: 0
Word: 1084cf   Parity: 0
Word: 1de6ffd6   Parity: 0
Word: 10c4e213   Parity: 0
Word: 26ffeefe   Parity: 0
Word: 4e21938   Parity: 0
Word: 116223   Parity: 0
Word: 1de6ffd6   Parity: 0
Word: 19870063   Parity: 0
Word: 2f0579d1   Parity: 0
Word: 2aab7ab4   Parity: 0
Word: 1552c431   Parity: 0
Word: 253fe5dc   Parity: 0
Word: 19900052   Parity: 0
Word: 10fec00b   Parity: 0
Word: 265cff8a   Parity: 0
Word: 10ff061e   Parity: 0
Word: 1554854b   Parity: 0
Word: 2aad3bce   Parity: 0
Word: 1ac01a23   Parity: 0
Word: 265bffb1   Parity: 0
Word: 2efebfe5   Parity: 0
Word: 267eff99   Parity: 0
Word: 2efe6bea   Parity: 0
Word: 1804e23f   Parity: 0
Word: 26ffe7bf   Parity: 0
Word: 3b1de6ee   Parity: 0
Word: 1884fe   Parity: 0
Word: 22190000   Parity: 0
Word: 18c4e201   Parity: 0
Word: 26ffe6ce   Parity: 0
Word: 4e21938   Parity: 0
Word: 196212   Parity: 0
ERROR
Word: 2219109d   Parity: a
Word: 110e4010   Parity: 0
Word: 19a30075   Parity: 0
Word: 2eed79ee   Parity: 0
Word: 1554854b   Parity: 0
Word: 2aad3bce   Parity: 0
Word: 1ac01a23   Parity: 0
Word: 265bffb1   Parity: 0
Word: 2eed3fda   Parity: 0
Word: 19810066   Parity: 0
Word: 11151411   Parity: 0
Word: 27fb1dc0   Parity: 0
Word: 19001840   Parity: 0
Word: 4e21911   Parity: 0
Word: 3fe77b01   Parity: 0
Word: 1de6ffff   Parity: 0
Word: 273b1dfe   Parity: 0
Word: 19001931   Parity: 0
Word: 3b1de6c7   Parity: 0
Word: 3fe69ded   Parity: 0
Word: 1de6ffff   Parity: 0
Word: 2660ffa7   Parity: 0
Word: 2ee6abc0   Parity: 0
Word: 1004e22d   Parity: 0
Word: 26ffef8f   Parity: 0
Word: 3b1de6ee   Parity: 0
Word: 1084cf   Parity: 0
Word: 1de6ffd6   Parity: 0
Word: 10c4e213   Parity: 0
Word: 26ffeefe   Parity: 0
Word: 4e21938   Parity: 0
Word: 116223   Parity: 0
Word: 1de6ffd6   Parity: 0
Word: 19870063   Parity: 0
Word: 2ee079f0   Parity: 0
Word: 15548562   Parity: 0
Word: 1552c418   Parity: 0
Word: 1ac01a0a   Parity: 0
Word: 1990007b   Parity: 0
Word: 2edc3fe9   Parity: 0
Word: 265cffa3   Parity: 0
Word: 2eddf9fc   Parity: 0
Word: 15548562   Parity: 0
Word: 1552c418   Parity: 0
Word: 1ac01a0a   Parity: 0
Word: 19a40067   Parity: 0
Word: 2ed9bff0   Parity: 0
Word: 1981004f   Parity: 0
Word: 2ed96bff   Parity: 0
Word: 27fb1de9   Parity: 0
Word: 26ffe796   Parity: 0
Word: 4e21938   Parity: 0
Word: 1884d7   Parity: 0
Word: 1de6ffd6   Parity: 0
Word: 18c4e228   Parity: 0
Word: 19001918   Parity: 0
Word: 4e21911   Parity: 0
Word: 3fe69dc4   Parity: 0
Word: 22190029   Parity: 0
Word: 2660ff8e   Parity: 0
Word: 112cd42b   Parity: 0
Word: 2ffb1dd2   Parity: 0
Word: 19001070   Parity: 0
Word: 4e21911   Parity: 0
Word: 3fef7b30   Parity: 0
Word: 22190029   Parity: 0
Word: 2f3b1dec   Parity: 0
Word: 19001101   Parity: 0
Word: 3b1de6c7   Parity: 0
Word: 3fee9ddc   Parity: 0
Word: 22190029   Parity: 0
Word: 2678ff9c   Parity: 0
Word: 1133061e   Parity: 0
Word: 1554854b   Parity: 0
Word: 2aad3bce   Parity: 0
Word: 1ac01a23   Parity: 0
Word: 266fffad   Parity: 0
Word: 2ec8bfc4   Parity: 0
Word: 19a30075   Parity: 0
Word: 2ec879ef   Parity: 0
Word: 2aab7a9d   Parity: 0
Word: 2aad3be7   Parity: 0
Word: 253fe5f5   Parity: 0
Word: 265bff98   Parity: 0
Word: 113bc004   Parity: 0
Word: 1981004f   Parity: 0
Word: 2ec5ebca   Parity: 0
Word: 1804e23f   Parity: 0
Word: 26ffe7bf   Parity: 0
Word: 3b1de6ee   Parity: 0
Word: 1884fe   Parity: 0
Word: 22190000   Parity: 0
Word: 18c4e201   Parity: 0
Word: 26ffe6ce   Parity: 0
Word: 4e21938   Parity: 0
Word: 196212   Parity: 0
Word: 22190000   Parity: 0
Word: 199f0058   Parity: 0
Word: 1140541e   Parity: 0
Word: 1004e204   Parity: 0
Word: 19001059   Parity: 0
Word: 3b1de6c7   Parity: 0
Word: 3fef7b19   Parity: 0
Word: 1de6ffff   Parity: 0
Word: 2f3b1dc5   Parity: 0
Word: 26ffeed7   Parity: 0
Word: 3b1de6ee   Parity: 0
Word: 11620a   Parity: 0
Word: 22190000   Parity: 0
Word: 1987004a   Parity: 0
Word: 11468607   Parity: 0
Word: 2aab7a9d   Parity: 0
Word: 2aad3be7   Parity: 0
Word: 253fe5f5   Parity: 0
Word: 266fff84   Parity: 0
Word: 1146c01a   Parity: 0
Word: 19a3005c   Parity: 0
Word: 114b0606   Parity: 0
Word: 1554854b   Parity: 0
Word: 2aad3bce   Parity: 0
Word: 1ac01a23   Parity: 0
Word: 265bffb1   Parity: 0
Word: 2eb4bfe4   Parity: 0
Word: 1981004f   Parity: 0
Word: 2eb06bfa   Parity: 0
Word: 1804e23f   Parity: 0
Word: 26ffe7bf   Parity: 0
Word: 3b1de6ee   Parity: 0
Word: 1884fe   Parity: 0
Word: 22190000   Parity: 0
Word: 18c4e201   Parity: 0
Word: 26ffe6ce   Parity: 0
Word: 4e21938   Parity: 0
Word: 196212   Parity: 0
ERROR
Word: 2219151d   Parity: 8
Word: 115f1439   Parity: 0
Word: 27fb1dc0   Parity: 0
Word: 19001840   Parity: 0
Word: 4e21911   Parity: 0
Word: 3fe77b01   Parity: 0
Word: 1de6ffff   Parity: 0
Word: 273b1dfe   Parity: 0
Word: 19001931   Parity: 0
Word: 3b1de6c7   Parity: 0
Word: 3fe69ded   Parity: 0
